grid,velocity,T,density,X_C2H4,X_O2,X_CO2,X_CO,X_H2O,X_H2,X_N2
0.007117187499999999,4.138516791310231,1857.6312843189787,0.18493248431041723,0.01719130687312738,0.06254232940338593,0.06195589801974723,0.030880714303416032,0.10102240702551984,0.0021118844367681773,0.7242954599380355
0.007119140624999999,4.17385661872903,1873.3582898844782,0.18336667057418732,0.016501193493785007,0.06101493045360208,0.06281919184126833,0.03133473789416801,0.1018838650792605,0.0021550793846131233,0.7242910018533029
0.0071201171874999995,4.191308650139154,1881.1272446310095,0.18260315656837062,0.01615953455954987,0.060258554681236455,0.06324871853051316,0.031557532352819405,0.10230992642771344,0.0021759338491296795,0.724289799599038
0.00712109375,4.208612654600771,1888.8321048852688,0.18185237145011923,0.015820719798153884,0.05950825864228863,0.063676177385221,0.03177708014268011,0.10273223341853434,0.002196241437107571,0.7242892891760145
0.007122070312499999,4.225766194574147,1896.4718734517594,0.1811141829547206,0.015484844692561487,0.0587641733785473,0.06410151196192371,0.031993269523204214,0.10315074434206076,0.002215981161477392,0.7242894749402252
0.007123046875,4.2427671874524115,1904.0456873290439,0.18038844887033317,0.015151993237989497,0.05802640547853568,0.06452467845855588,0.03220599787027248,0.10356543082993898,0.002235133255818356,0.7242903608688891
0.0071240234375,4.259613506222853,1911.5526695394972,0.1796750317083004,0.01482225142297113,0.05729506763890132,0.0649456286141139,0.03241516295624812,0.10397626043363652,0.002253678385420947,0.7242919505487081
0.007124999999999999,4.276303114960857,1918.991979345657,0.17897379381179998,0.01449570256824581,0.056570268364654584,0.06536431547717038,0.03262066606882597,0.10438320245040429,0.002271597959253481,0.7242942471114455
0.007125976562499999,4.292834063829985,1926.362814708874,0.17828459719769366,0.014172427206101188,0.05585211181786242,0.06578069346125004,0.03282241216213111,0.10478622796848108,0.002288874162138023,0.7242972532220361
0.007126953124999999,4.309204497180156,1933.6644108908338,0.1776073037583751,0.013852503021500857,0.05514069780271043,0.06619471832689415,0.03302030996279794,0.10518530983633642,0.002305489981940224,0.7243009710678199
0.0071279296874999995,4.325412647915209,1940.8960427579307,0.1769417751133778,0.013536004748398396,0.05443612163860738,0.06660634722974652,0.03321427209842552,0.10558042269864962,0.0023214292368808503,0.7243054023492917
0.007128906249999999,4.341456845567691,1948.0570232764687,0.17628787281051944,0.0132230041215987,0.05373847415501247,0.06701553870306907,0.03340421518530655,0.10597154296476397,0.002336676598258813,0.7243105482719905
0.007129882812499999,4.357335510045433,1955.1467056578035,0.17564545818688776,0.012913569790383397,0.05304784158893143,0.06742225269858328,0.03359005993373008,0.10635864883573334,0.0023512176127399795,0.7243164095398985
